DEVICE NAME,DESCRIPTION,MAC,EXT,SN,SW,PTO
SEPB4A8B969FCD4,Hab322_S.Cugat,B4A8B969FCD4,10885322,FCH2149DG94,SW-AMU139V0-44,gi3
SEP247E12BE0A0E,Hab321_S.Cugat,247E12BE0A0E,10885321,FCH2149DK6V,SW-AMU139V0-44,gi4
SEP0027901C7616,Hab320_S.Cugat,0027901C7616,10885320,FCH2144DJSV,SW-AMU139V0-44,gi5
SEP247E12BE0800,T_Rojo_UH3_S.Cugat,247E12BE0800,17774007,FCH2149DJRB,SW-AMU139V0-21,gi9
SEP247E12BE08CD,Hab327_S.Cugat,247E12BE08CD,10885327,FCH2149DJXD,SW-AMU139V0-43,gi22
SEP247E12BF51FF,Hab301_S.Cugat,247E12BF51FF,10885301,FCH2201DHNU,SW-AMU139V0-43,gi1
SEP247E12BE0740,Hab424_S.Cugat,247E12BE0740,10885424,FCH2149DJKP,SW-AMU139V0-45,gi24
SEPB4A8B969FBE7,Hab417_S.Cugat,B4A8B969FBE7,10885417,FCH2149DG25,SW-AMU139V0-45,gi16
SEP74860B715ED7,Hab430_S.Cugat,74860B715ED7,10885430,FCH2135DUWV,SW-AMU139V0-44,gi18
SEP0027901C7322,T_Rojo_UH4_S.Cugat,0027901C7322,17774008,FCH2144DJ4,SW-AMU139V0-21,gi5
SEP74860B715ED4,Hab428_S.Cugat,74860B715ED4,10885428,FCH2135DUWS,SW-AMU139V0-44,gi16
SEP247E12BE0790,Hab427_S.Cugat,247E12BE0790,10885427,FCH2149DJN1,SW-AMU139V0-44,gi15
SEP247E12BE07B4,Hab425_S.Cugat,247E12BE07B4,10885425,FCH2149DJP3,SW-AMU139V0-44,gi13
SEPB4A8B969FBE7,Hab417_S.Cugat,B4A8B969FBE7,10885417,FCH2149DG25,SW-AMU139V0-45,gi16
SEPB4A8B969FC60,Hab401_S.Cugat,B4A8B969FC60,10885401,FCH2149DG5Q,SW-AMU139V0-45,gi3
SEP247E12BE073D,Hab403_S.Cugat,247E12BE073D,10885403,FCH2149DJKL,SW-AMU139V0-45,gi7
SEPB4A8B969FC18,Hab423_S.Cugat,B4A8B969FC18,10885423,FCH2149DG3L,SW-AMU139V0-45,gi23
SEP247E12BE074A,Hab422_S.Cugat,247E12BE074A,10885422,FCH2149DJKZ,SW-AMU139V0-21,gi10
SEP247E12BE0760,Hab421_S.Cugat,247E12BE0760,10885421,FCH2149DJL,SW-AMU139V0-45,gi21
SEP247E12BE09A9,Hab323_S.Cugat,247E12BE09A9,10885323,FCH2149DK3W,SW-AMU139V0-44,gi2
SEP247E12BE075A,Hab420_S.Cugat,247E12BE075A,10885420,FCH2149DJLF,SW-AMU139V0-45,gi20
SEP247E12BF535E,Hab303_S.Cugat,247E12BF535E,10885303,FCH2201DHZ5,SW-AMU139V0-44,gi9
SEP247E12BE07C3,Hab419_S.Cugat,247E12BE07C3,10885419,FCH2149DJPJ,SW-AMU139V0-45,gi19
SEP247E12BE07C5,Hab418_S.Cugat,247E12BE07C5,10885418,FCH2149DJPL,SW-AMU139V0-45,gi18
SEP247E12BE099D,Hab402_S.Cugat,247E12BE099D,10885402,FCH2149DK3J,SW-AMU139V0-45,gi1
SEP0027901C7348,Hab412_S.Cugat,0027901C7348,10885412,FCH2144DJ5R,SW-AMU139V0-45,gi9
SEPEC1D8B2B7CE1,Hab416_S.Cugat,EC1D8B2B7CE1,10885416,FCH2142EQ9L,SW-AMU139V0-45,gi14
SEP74860B7161FF,Hab429_S.Cugat,74860B7161FF,10885429,FCH2135DVL,SW-AMU139V0-44,gi17
SEPEC1D8B2B7CED,Hab413_S.Cugat,EC1D8B2B7CED,10885413,FCH2142EQ9Y,SW-AMU139V0-45,gi11
SEP247E12BE0A18,Hab405_S.Cugat,247E12BE0A18,10885405,FCH2149DK75,SW-AMU139V0-45,gi13
SEP74860B70B775,Hab432_S.Cugat,74860B70B775,10885432,FCH2134DNP0,SW-AMU139V0-44,gi19
SEP0027901C745F,Hab410_S.Cugat,0027901C745F,10885410,FCH2144DJDY,SW-AMU139V0-45,gi5
SEP74860B715E63,Hab431_S.Cugat,74860B715E63,10885431,FCH2135DUTF,SW-AMU139V0-44,gi20
SEPB4A8B969FCAD,Hab406_S.Cugat,B4A8B969FCAD,10885406,FCH2149DG7Z,SW-AMU139V0-45,gi2
SEPEC1D8B2B7CE6,Hab409_S.Cugat,EC1D8B2B7CE6,10885409,FCH2142EQ9R,SW-AMU139V0-45,gi10
SEP0027901C735D,Hab408_S.Cugat,0027901C735D,10885408,FCH2144DJ6C,SW-AMU139V0-45,gi6
SEP247E12BE0815,Hab407_S.Cugat,247E12BE0815,10885407,FCH2149DJRY,SW-AMU139V0-45,gi8
SEP0027901C7523,Hab411_S.Cugat,0027901C7523,10885411,FCH2144DJKQ,SW-AMU139V0-45,gi12
SEP0027901C735A,Hab426_S.Cugat,0027901C735A,10885426,FCH2144DJ69,SW-AMU139V0-44,gi14
SEP247E12BECCAE,Sala_simulador_paciente_S.Cugat,247E12BECCAE,10885366,FCH2151D3WE,SW-AMU139V0-14,gi1
SEP247E12BF50B6,Hab304_S.Cugat,247E12BF50B6,10885304,FCH2201DHD5,SW-AMU139V0-43,gi4
SEP247E12BECB36,Lavanderia_S.Cugat,247E12BECB36,10885358,FCH2151D3KC,SW-AMU139V0-19,gi15
SEP74860B70B94F,Hab316_S.Cugat,74860B70B94F,10885316,FCH2134DP2Y,SW-AMU139V0-43,gi16
SEP247E12BECB70,CafeteríaVIP_S.Cugat,247E12BECB70,10885444,FCH2151D32,SW-AMU139V0-19,gi17
SEP247E12BF5042,Hab305_S.Cugat,247E12BF5042,10885305,FCH2201DH9R,SW-AMU139V0-43,gi5
SEP247E12BE0894,Farmacia_0885,247E12BE0894,10885505,FCH2149DJVQ,SW-AMU139V0-15,gi7
